nom,code_postal,commune,numero,voie,lieu_dit,site_internet,longitude,latitude,personnel_aidant,largeur_entree,aide_audition,entree_balise_sonore,sanitaires_pmr,stationnement_pmr,labels,types_handicap,difficulte_chemin_ext,difficulte_entree,difficulte_chemin_accueil,score
Adir assistance,76290,Montivilliers,2,Rue Hector Berlioz,,,0.16804844141006473,49.543492993870984,1,,,,1,1,,,,1,,2.0
Ado'Gesvres Le Tremplin,44119,Treillières,,,Chateau de Gesvres,,-1.625575,47.31942,1,90,,,1,,,,,,,1.18
Adonis Fleurs Paris,75010,Paris,142,Rue du Faubourg Poissonnière,,,2.3499020934104924,48.88122740317813,,,,,,,,,,,,0.36
Aelys,82000,Montauban,785,Avenue Jean Moulin,,http://www.aelys.fr/,1.3687098026275637,44.0313718779306,,0,1,,,1,,,1,,,1.55
Aérocom Montgolfière,41150,Veuzain-sur-Loire,36,Rue de Chouzy,,https://www.aerocom.fr,1.20066,47.505035,,,,,,,th,moteur|auditif|mental|visuel,,,,1.09
Af Pressing Blanchisserie Alcide Fruito,92110,Clichy,1,Rue du Docteur Emile Roux,,,2.307593,48.897646,1,125,,,,,,,,1,,1.27
Africa Voyages et Fret,92110,CLICHY,35,Boulevard VICTOR HUGO,,,2.311028,48.89793,1,80,,,,,,,,,,0.82
Afr Immobilier,78500,SARTROUVILLE,,Place DES FUSILLES,,,2.1578827500343327,48.9380061866126,,90,,,,1,,,,,,0.73
AFR Immobilier,78800,Houilles,38,Rue Gabriel Péri,,,2.190012,48.925234,,90,,,,1,,,,1,,1.0
AFYLALIMMO,95230,Soisy-sous-Montmorency,4 ter,Avenue Alexandre Dumas,,,2.299918,48.976577,1,90,,,1,1,,,,,,1.64
Agence Azalys,41000,BLOIS,3,Rue DU COMMERCE,,https://www.azalys-blois.fr/,1.335009,47.585792,1,90,1,1,,1,,,2,,1,2.36
Agence Beneat-Chauvel,56640,ARZON,1,Chemin DU CROUIESTY,,,-2.896874248981476,47.54623069365378,,,,,,1,,,,,,0.82
Agence Beneat-Chauvel,56640,ARZON,4,QUAI DES CABESTANS,PORT DU CROUESTY,,-2.8927275538444523,47.54242493089689,,,,,,1,,,,,,0.82
Agence Bourguignons-Raspail,92270,Bois-Colombes,4,Rue Raspail,,https://www.agencebourguignons-raspail.com,2.273964,48.914639,1,100,,,,,,,,1,,1.09
Agence Calegari,78800,HOUILLES,1,Rue GAMBETTA,,,2.186088860034943,48.92435682407801,,90,,,,1,,,,1,,1.0
Agence des Colombes - Cabinet Jourdan,92270,Bois-Colombes,7,Rue d'Estienne d'Orves,,https://www.cabinetjourdan.com,2.271047,48.915328,1,88,,,,,,,,1,,1.09
Agence immobilière Friedrich,55200,Commercy,15,Avenue Stanislas,,,5.590187609195709,48.76243395880762,,,,,,,,,,1,,0.64
Agence Lucie,75003,Paris,12,rue aux ours,,,2.3516396618606943,48.86331563246611,1,90,1,,0,1,autre,,1,1,,2.64
Agence MHT,92270,Bois-Colombes,2,Rue Auguste Moreau,,https://www.agencemht.com,2.267509996891022,48.914546573713466,1,,,,0,,,,,1,,1.09
Agence nationale de l'habitat (Anah) - Aube,10000,Troyes,2,boulevard Jules GUESDE,,http://www.anah.fr,4.0825554728508004,48.29436855509044,1,90,1,,1,1,,,1,,,2.36
Agence nationale de l'habitat (Anah) - Haute-Vienne,87100,Limoges,,Immeuble Le Pastel,22 rue des Pénitents-Blancs,http://www.anah.fr,1.266729533672333,45.83164376033562,1,120,,,,1,,,1,,,1.73
Agence Nestenn Immobilier Hyères,83400,HYERES,51,Avenue GAMBETTA,,http://immobilier-hyeres.nestenn.com,6.128676,43.115729,,,,,,,,,2,,,0.36
Agence postale,10190,Aix-Villemaur-Pâlis,2,Place Gambetta,,,3.707909178774572,48.28829852729287,,90,,,,1,,,1,,,1.0
